"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/06/2024","Buy","BYDDY","BYD CO LTD FSPONSORED ADR 1 ADR REPS 2 ORD SHS","105","$57.95","$6.95","-$6091.70"
"05/06/2024","Sell","ASAI","SENDAS DISTRIBUIDORA FSPONSORED ADR 1 ADR REPS 5 ORD SHS","230","$13.1948","$0.06","$3034.74"
"05/03/2024","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$319.15"
"05/03/2024 as of 05/31/2023","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$95.13"
"05/02/2024 as of 01/05/2024","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$16.39"
"05/02/2024 as of 11/21/2023","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$20.14"
"05/02/2024 as of 07/31/2023","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$24.02"
"04/30/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$8.69"
"04/26/2024","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$44.42"
"04/11/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$83.48"
"03/28/2024","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$102.59"
"03/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$2.26"
"03/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$95.37"
"03/26/2024","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$15.84"
"02/29/2024","Sell","NIO","NIO INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","200","$5.58","$0.04","$1115.96"
"02/29/2024","Sell","AU","ANGLOGOLD ASHANTI PLC F","226","$18.71","$0.07","$4228.39"
